age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
,Private,,Separated,Protective-serv,Not-in-family,,Female,40.0,United-States,<=50K
57.0,,Masters,,,,White,Female,40.0,United-States,<=50K
,,,Never-married,,Not-in-family,,Male,30.0,United-States,<=50K
53.0,,Bachelors,,,,White,Male,40.0,Greece,<=50K
37.0,,Some-college,,,,White,Male,55.0,United-States,<=50K
55.0,,Masters,,,,White,Male,40.0,,>50K
45.0,,Masters,,,,White,Male,50.0,United-States,>50K
69.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
23.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,50.0,United-States,>50K
31.0,,HS-grad,,,,White,Male,40.0,United-States,>50K
,Private,,Divorced,Handlers-cleaners,Not-in-family,,Male,45.0,United-States,<=50K
25.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
,,,Divorced,,Not-in-family,,Female,16.0,United-States,<=50K
29.0,,5th-6th,,,,White,Female,40.0,El-Salvador,<=50K
20.0,,Some-college,,,,White,Female,35.0,United-States,<=50K
22.0,,,,,,White,Male,40.0,United-States,<=50K
,State-gov,,Never-married,Handlers-cleaners,Own-child,,Male,40.0,United-States,<=50K
20.0,,Some-college,,,,Asian-Pac-Islander,Male,8.0,India,<=50K
,State-gov,,Married-civ-spouse,Adm-clerical,Husband,,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Adm-clerical,Wife,,Female,40.0,United-States,<=50K
,Private,,Married-spouse-absent,Adm-clerical,Own-child,,Female,20.0,United-States,<=50K
22.0,,,,,,White,Male,40.0,United-States,<=50K
,Private,,Separated,Machine-op-inspct,Not-in-family,,Female,40.0,Ireland,<=50K
43.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
,Private,,Widowed,Other-service,Unmarried,,Female,38.0,United-States,<=50K
,Private,,Divorced,Machine-op-inspct,Not-in-family,,Female,40.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Farming-fishing,Husband,,Male,50.0,United-States,<=50K
42.0,,HS-grad,,,,White,Female,65.0,United-States,<=50K
,Private,,Never-married,Prof-specialty,Not-in-family,,Male,7.0,,<=50K
23.0,,Bachelors,,,,White,Female,50.0,United-States,<=50K
,Private,,Never-married,Other-service,Unmarried,,Female,48.0,Haiti,<=50K
,Private,,Never-married,Prof-specialty,Not-in-family,,Male,40.0,Taiwan,<=50K
28.0,,Assoc-acdm,,,,White,Female,40.0,United-States,>50K
65.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
40.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Adm-clerical,Husband,,Male,40.0,United-States,<=50K
24.0,,Some-college,,,,White,Male,24.0,United-States,<=50K
21.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Exec-managerial,Husband,,Male,50.0,Iran,<=50K
31.0,,Masters,,,,White,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
35.0,,Bachelors,,,,White,Male,45.0,United-States,<=50K
,Private,,Divorced,Adm-clerical,Unmarried,,Female,40.0,United-States,<=50K
17.0,,10th,,,,White,Male,18.0,United-States,<=50K
19.0,,10th,,,,Amer-Indian-Eskimo,Female,40.0,United-States,<=50K
,Private,,Never-married,Sales,Own-child,,Female,20.0,United-States,<=50K
52.0,,HS-grad,,,,White,Female,48.0,United-States,<=50K
56.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
30.0,,Masters,,,,White,Male,40.0,United-States,>50K
,Private,,Divorced,Machine-op-inspct,Not-in-family,,Male,40.0,United-States,<=50K
49.0,,Doctorate,,,,Black,Male,60.0,,>50K
,Local-gov,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,<=50K
,,,Married-civ-spouse,,Husband,,Male,40.0,United-States,<=50K
,Private,,Never-married,Prof-specialty,Own-child,,Female,55.0,United-States,<=50K
21.0,,Some-college,,,,White,Female,38.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,50.0,United-States,>50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,Male,40.0,Mexico,<=50K
,Private,,Married-civ-spouse,Other-service,Husband,,Male,50.0,United-States,<=50K
,Private,,Never-married,Sales,Not-in-family,,Male,40.0,United-States,<=50K
31.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Other-service,Husband,,Male,40.0,United-States,<=50K
26.0,,Some-college,,,,White,Male,40.0,United-States,>50K
35.0,,Some-college,,,,White,Male,60.0,United-States,>50K
35.0,,HS-grad,,,,White,Male,60.0,United-States,>50K
,Private,,Never-married,Adm-clerical,Other-relative,,Female,40.0,Jamaica,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Tech-support,Husband,,Male,60.0,United-States,<=50K
,State-gov,,Never-married,Prof-specialty,Not-in-family,,Male,15.0,United-States,<=50K
,Private,,Never-married,Craft-repair,Other-relative,,Male,60.0,United-States,<=50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,Male,40.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Own-child,,Male,40.0,United-States,<=50K
,Private,,Never-married,Sales,Own-child,,Female,20.0,United-States,<=50K
,Private,,Never-married,Other-service,Own-child,,Female,24.0,United-States,<=50K
54.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Adm-clerical,Husband,,Male,39.0,United-States,<=50K
,,,Never-married,,Own-child,,Male,20.0,United-States,<=50K
33.0,,9th,,,,White,Male,50.0,Columbia,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,45.0,United-States,>50K
32.0,,Bachelors,,,,Black,Female,60.0,,<=50K
41.0,,Masters,,,,White,Male,60.0,United-States,<=50K
28.0,,HS-grad,,,,Black,Male,30.0,United-States,<=50K
,Private,,Never-married,Sales,Own-child,,Male,40.0,Columbia,<=50K
,Private,,Divorced,Other-service,Unmarried,,Male,40.0,United-States,<=50K
43.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,80.0,United-States,>50K
,Private,,Never-married,Sales,Not-in-family,,Female,20.0,United-States,<=50K
43.0,,Masters,,,,Asian-Pac-Islander,Female,50.0,South,<=50K
47.0,,Some-college,,,,White,Male,50.0,United-States,>50K
33.0,,Some-college,,,,White,Male,50.0,United-States,>50K
,,,Divorced,,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Other-service,Husband,,Male,40.0,United-States,<=50K
,Private,,Divorced,Machine-op-inspct,Not-in-family,,Male,40.0,United-States,<=50K
18.0,,Some-college,,,,White,Female,26.0,United-States,<=50K
67.0,,HS-grad,,,,White,Male,55.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,80.0,United-States,>50K
49.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
35.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
,Private,,Never-married,Exec-managerial,Own-child,,Male,40.0,United-States,<=50K
,Private,,Never-married,Sales,Not-in-family,,Male,40.0,United-States,<=50K
28.0,,11th,,,,White,Male,40.0,United-States,<=50K
,,,Divorced,,Not-in-family,,Male,40.0,United-States,<=50K
29.0,,HS-grad,,,,White,Male,35.0,United-States,<=50K
56.0,,Some-college,,,,White,Female,45.0,United-States,<=50K
31.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
39.0,,HS-grad,,,,White,Male,60.0,United-States,<=50K
,,,Never-married,,Own-child,,Female,40.0,United-States,<=50K
,Private,,Never-married,Sales,Own-child,,Male,40.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Own-child,,Male,40.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Divorced,Exec-managerial,Unmarried,,Female,35.0,United-States,<=50K
,Private,,Widowed,Priv-house-serv,Not-in-family,,Female,6.0,United-States,<=50K
46.0,,Some-college,,,,White,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,40.0,United-States,>50K
,Local-gov,,Never-married,Protective-serv,Own-child,,Male,40.0,United-States,<=50K
,Local-gov,,Divorced,Prof-specialty,Unmarried,,Male,40.0,United-States,>50K
,Private,,Never-married,Craft-repair,Own-child,,Male,40.0,United-States,<=50K
,Private,,Never-married,Tech-support,Not-in-family,,Female,40.0,United-States,<=50K
,Local-gov,,Never-married,Other-service,Own-child,,Male,20.0,United-States,<=50K
,Private,,Never-married,Handlers-cleaners,Own-child,,Male,40.0,United-States,<=50K
59.0,,HS-grad,,,,White,Female,37.0,United-States,<=50K
,Private,,Married-civ-spouse,Other-service,Husband,,Male,20.0,United-States,<=50K
25.0,,Some-college,,,,White,Male,24.0,United-States,<=50K
47.0,,Some-college,,,,Black,Male,40.0,United-States,<=50K
50.0,,Doctorate,,,,White,Male,40.0,United-States,>50K
57.0,,HS-grad,,,,Asian-Pac-Islander,Male,40.0,United-States,<=50K
,Private,,Never-married,Prof-specialty,Not-in-family,,Male,30.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,50.0,United-States,<=50K
,Private,,Never-married,Other-service,Not-in-family,,Female,40.0,United-States,<=50K
,Self-emp-inc,,Married-civ-spouse,Sales,Husband,,Male,50.0,United-States,>50K
,Private,,Never-married,Adm-clerical,Unmarried,,Female,40.0,United-States,<=50K
,,,Married-civ-spouse,,Husband,,Male,28.0,United-States,<=50K
40.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
18.0,,11th,,,,White,Female,20.0,United-States,<=50K
52.0,,Bachelors,,,,White,Male,40.0,United-States,<=50K
40.0,,10,,,,White,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Prof-specialty,Wife,,Female,3.0,United-States,>50K
,Self-emp-not-inc,,Divorced,Craft-repair,Not-in-family,,Male,40.0,Cambodia,<=50K
,Private,,Never-married,Farming-fishing,Not-in-family,,Male,48.0,United-States,<=50K
,Self-emp-not-inc,,Never-married,Other-service,Own-child,,Female,40.0,United-States,<=50K
26.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
44.0,,Some-college,,,,White,Male,35.0,United-States,<=50K
,Self-emp-inc,,Married-civ-spouse,Exec-managerial,Husband,,Male,60.0,United-States,>50K
26.0,,HS-grad,,,,White,Male,50.0,United-States,<=50K
,Private,,Never-married,Other-service,Own-child,,Male,22.0,United-States,<=50K
56.0,,Assoc-voc,,,,White,Male,40.0,United-States,>50K
45.0,,Bachelors,,,,White,Female,40.0,United-States,<=50K
62.0,,Masters,,,,White,Female,33.0,United-States,>50K
30.0,,Bachelors,,,,White,Female,40.0,Poland,<=50K
19.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Tech-support,Husband,,Male,40.0,Italy,<=50K
36.0,Self-emp-not-inc,HS-grad,Widowed,Craft-repair,Not-in-family,White,Male,,United-States,<=50K
53.0,,Preschool,,,,White,Female,15.0,El-Salvador,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,55.0,United-States,>50K
39.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,Self-emp-not-inc,,Separated,Craft-repair,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Tech-support,Husband,,Male,36.0,United-States,<=50K
40.0,,Some-college,,,,White,Male,45.0,United-States,>50K
31.0,,,,,,White,Female,25.0,United-States,<=50K
,State-gov,,Never-married,Prof-specialty,Not-in-family,,Female,20.0,United-States,<=50K
32.0,,Assoc-acdm,,,,White,Male,20.0,United-States,<=50K
45.0,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,,,United-States,<=50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,Male,40.0,United-States,>50K
51.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Other-service,Husband,,Male,40.0,Italy,<=50K
42.0,,Bachelors,,,,Asian-Pac-Islander,Male,72.0,Philippines,>50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,40.0,United-States,>50K
25.0,,Bachelors,,,,White,Male,20.0,United-States,<=50K
,Private,,Married-civ-spouse,Exec-managerial,Own-child,,Male,40.0,United-States,>50K
27.0,,Bachelors,,,,White,Male,40.0,United-States,<=50K
,Private,,Never-married,Transport-moving,Own-child,,Male,40.0,United-States,<=50K
63.0,,Doctorate,,,,White,Male,50.0,United-States,>50K
50.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
,Self-emp-inc,,Married-civ-spouse,Sales,Husband,,Male,40.0,United-States,>50K
,Private,,Never-married,Other-service,Own-child,,Female,30.0,United-States,<=50K
28.0,,Bachelors,,,,White,Male,40.0,United-States,<=50K
59.0,,,,,,White,Male,60.0,Greece,<=50K
31.0,,Assoc-voc,,,,White,Male,40.0,United-States,<=50K
28.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
,State-gov,,Divorced,Prof-specialty,Unmarried,,Female,40.0,United-States,>50K
,Private,,Never-married,Sales,Own-child,,Male,30.0,,<=50K
32.0,,HS-grad,,,,White,Male,48.0,United-States,<=50K
,Private,,Divorced,Craft-repair,Not-in-family,,Female,40.0,United-States,<=50K
37.0,,Bachelors,,,,White,Male,50.0,United-States,>50K
,,,Married-civ-spouse,,Husband,,Male,50.0,United-States,>50K
,Private,,Never-married,Other-service,Own-child,,Female,9.0,United-States,<=50K
58.0,,HS-grad,,,,White,Male,45.0,United-States,>50K
19.0,,HS-grad,,,,White,Female,35.0,United-States,<=50K
,Private,,Married-civ-spouse,Machine-op-inspct,Husband,,Male,40.0,United-States,<=50K
46.0,Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,,,United-States,<=50K
,Local-gov,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,<=50K
,Private,,Never-married,Transport-moving,Own-child,,Male,40.0,United-States,<=50K
,Private,,Separated,Craft-repair,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Never-married,Adm-clerical,Own-child,,Male,16.0,United-States,<=50K
42.0,,Assoc-voc,,,,Black,Male,40.0,United-States,<=50K
,,,Married-civ-spouse,,Wife,,Female,20.0,United-States,>50K
29.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
30.0,,Prof-school,,,,White,Male,40.0,United-States,<=50K
,State-gov,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,>50K
30.0,,Some-college,,,,White,Male,60.0,United-States,<=50K
67.0,,HS-grad,,,,White,Female,35.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,>50K
,,,Never-married,,Not-in-family,,Female,12.0,Thailand,<=50K
47.0,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,40.0,United-States,
,State-gov,,Married-civ-spouse,Farming-fishing,Husband,,Male,40.0,United-States,<=50K
,Private,,Divorced,Sales,Own-child,,Male,40.0,United-States,<=50K
,Self-emp-inc,,Married-civ-spouse,Exec-managerial,Husband,,Male,50.0,United-States,>50K
30.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
32.0,,9,,,,White,Male,50.0,United-States,<=50K
18.0,,11th,,,,White,Female,22.0,United-States,<=50K
29.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
43.0,,HS-grad,,,,White,Female,44.0,United-States,<=50K
39.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
43.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
31.0,,Assoc-voc,,,,White,Male,40.0,United-States,>50K
42.0,,HS-grad,,,,White,Male,48.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Sales,Husband,,Male,50.0,United-States,<=50K
20.0,,HS-grad,,,,White,Male,35.0,United-States,<=50K
27.0,Private,HS-grad,Never-married,Tech-support,Other-relative,Black,Female,,United-States,<=50K
58.0,Private,HS-grad,Never-married,Tech-support,Other-relative,White,,,United-States,
,Private,,Never-married,Other-service,Not-in-family,,Female,20.0,United-States,<=50K
27.0,,Bachelors,,,,Black,Male,48.0,United-States,<=50K
29.0,,Some-college,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,Male,50.0,United-States,<=50K
46.0,,Prof-school,,,,Asian-Pac-Islander,Male,40.0,Philippines,>50K
,Private,,Never-married,Adm-clerical,Not-in-family,,Male,70.0,United-States,<=50K
,Federal-gov,,Married-civ-spouse,Transport-moving,Husband,,Male,40.0,United-States,<=50K
,,,Married-civ-spouse,,Wife,,Female,40.0,Hong,<=50K
,Private,,Never-married,Prof-specialty,Own-child,,Female,20.0,United-States,<=50K
,,,Married-civ-spouse,,Husband,,Male,24.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,50.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,48.0,United-States,>50K
37.0,,5th-6th,,,,White,Male,36.0,Mexico,<=50K
,Private,,Divorced,Other-service,Not-in-family,,Male,32.0,United-States,<=50K
43.0,,,,,,Black,Male,40.0,United-States,>50K
28.0,,HS-grad,,,,White,Male,55.0,United-States,<=50K
34.0,,14,,,,Asian-Pac-Islander,Male,43.0,India,>50K
65.0,,Prof-school,,,,White,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
59.0,,Some-college,,,,White,Female,32.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,>50K
,Private,,Never-married,Machine-op-inspct,Not-in-family,,Male,50.0,United-States,<=50K
,Private,,Never-married,Prof-specialty,Not-in-family,,Female,40.0,United-States,<=50K
64.0,,HS-grad,,,,White,Male,28.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Not-in-family,,Male,50.0,United-States,>50K
44.0,,Some-college,,,,White,Male,50.0,United-States,<=50K
39.0,,Assoc-acdm,,,,Asian-Pac-Islander,Male,72.0,South,<=50K
72.0,,9,,,,White,Female,50.0,England,<=50K
47.0,,Some-college,,,,White,Female,40.0,United-States,<=50K
24.0,,Masters,,,,White,Female,40.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Exec-managerial,Husband,,Male,70.0,United-States,<=50K
,Private,,Married-civ-spouse,Adm-clerical,Husband,,Male,40.0,United-States,<=50K
66.0,,HS-grad,,,,White,Male,50.0,United-States,>50K
,Local-gov,,Separated,Adm-clerical,Unmarried,,Female,40.0,United-States,<=50K
45.0,,11th,,,,White,Male,40.0,United-States,<=50K
39.0,,Masters,,,,White,Male,45.0,United-States,>50K
47.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
52.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,60.0,United-States,<=50K
40.0,,Bachelors,,,,White,Female,20.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Wife,,Female,40.0,United-States,>50K
,Private,,Never-married,Machine-op-inspct,Own-child,,Female,40.0,Dominican-Republic,<=50K
,Local-gov,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
42.0,,Some-college,,,,White,Male,40.0,United-States,>50K
,Self-emp-not-inc,,Married-civ-spouse,Farming-fishing,Husband,,Male,50.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Craft-repair,Husband,,Male,55.0,United-States,<=50K
55.0,,HS-grad,,,,Asian-Pac-Islander,Male,55.0,United-States,<=50K
,Private,,Never-married,Machine-op-inspct,Own-child,,Male,40.0,United-States,<=50K
,Federal-gov,,Married-civ-spouse,Prof-specialty,Husband,,Male,50.0,India,>50K
38.0,,Prof-school,,,,White,Male,60.0,United-States,>50K
,Private,,Never-married,Craft-repair,Own-child,,Male,20.0,United-States,<=50K
21.0,,Some-college,,,,White,Male,48.0,United-States,<=50K
,,,Married-civ-spouse,,Husband,,Male,40.0,United-States,>50K
24.0,,,,,,White,Male,40.0,United-States,<=50K
53.0,,Some-college,,,,White,Male,40.0,United-States,>50K
32.0,,,,,,White,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,60.0,United-States,<=50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,Male,45.0,United-States,<=50K
26.0,,Some-college,,,,Black,Female,35.0,Dominican-Republic,<=50K
73.0,,9,,,,White,Female,32.0,United-States,<=50K
26.0,,Bachelors,,,,White,Male,30.0,United-States,<=50K
51.0,,Masters,,,,White,Male,38.0,Canada,>50K
58.0,,Doctorate,,,,White,Male,1.0,United-States,>50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,44.0,United-States,<=50K
35.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
,Local-gov,,Never-married,Other-service,Not-in-family,,Male,40.0,United-States,<=50K
25.0,,HS-grad,,,,Black,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,>50K
48.0,,HS-grad,,,,White,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,Male,50.0,United-States,<=50K
,Federal-gov,,Married-civ-spouse,Transport-moving,Husband,,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Adm-clerical,Husband,,Male,40.0,United-States,<=50K
,Self-emp-inc,,Married-civ-spouse,Exec-managerial,Husband,,Male,70.0,United-States,>50K
25.0,,HS-grad,,,,Black,Male,40.0,United-States,<=50K
,Private,,Separated,Sales,Unmarried,,Female,40.0,Mexico,<=50K
44.0,,Some-college,,,,White,Male,58.0,United-States,>50K
,Federal-gov,,Divorced,Tech-support,Unmarried,,Female,20.0,United-States,<=50K
36.0,,HS-grad,,,,Asian-Pac-Islander,Male,70.0,South,<=50K
49.0,,Masters,,,,White,Male,60.0,United-States,<=50K
34.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
33.0,,Bachelors,,,,White,Male,15.0,Mexico,<=50K
,Private,,Divorced,Handlers-cleaners,Not-in-family,,Female,40.0,United-States,<=50K
,Local-gov,,Never-married,Prof-specialty,Not-in-family,,Female,40.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Not-in-family,,Female,45.0,United-States,<=50K
,Private,,Never-married,Craft-repair,Not-in-family,,Male,40.0,United-States,<=50K
52.0,,HS-grad,,,,White,Male,40.0,United-States,>50K
27.0,,HS-grad,,,,White,Male,35.0,United-States,<=50K
,Private,,Never-married,Craft-repair,Own-child,,Male,20.0,United-States,<=50K
36.0,,Bachelors,,,,White,Female,40.0,United-States,<=50K
,Private,,Widowed,Sales,Not-in-family,,Female,40.0,United-States,>50K
48.0,,Some-college,,,,White,Male,40.0,United-States,>50K
51.0,,Masters,,,,White,Male,60.0,United-States,<=50K
18.0,,Some-college,,,,White,Female,25.0,United-States,<=50K
,Private,,Never-married,Exec-managerial,Not-in-family,,Male,40.0,United-States,<=50K
,Private,,Never-married,Other-service,Own-child,,Female,15.0,United-States,<=50K
,Federal-gov,,Married-civ-spouse,Adm-clerical,Wife,,Female,40.0,United-States,>50K
,Private,,Never-married,Sales,Own-child,,Female,40.0,United-States,<=50K
62.0,,12th,,,,White,Female,37.0,Mexico,<=50K
,Private,,Never-married,Other-service,Not-in-family,,Male,40.0,United-States,<=50K
18.0,,9th,,,,White,Male,16.0,United-States,<=50K
,Private,,Married-civ-spouse,Protective-serv,Other-relative,,Male,40.0,Mexico,<=50K
,Private,,Divorced,Handlers-cleaners,Not-in-family,,Male,40.0,United-States,<=50K
32.0,,HS-grad,,,,White,Female,50.0,United-States,<=50K
33.0,,Bachelors,,,,Asian-Pac-Islander,Male,38.0,United-States,>50K
35.0,,Bachelors,,,,White,Male,16.0,United-States,>50K
52.0,,10th,,,,White,Male,40.0,United-States,<=50K
,Private,,Never-married,Craft-repair,Own-child,,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,60.0,United-States,>50K
,Self-emp-not-inc,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,Portugal,<=50K
,State-gov,,Never-married,Other-service,Own-child,,Female,14.0,United-States,<=50K
61.0,,Doctorate,,,,White,Female,5.0,United-States,<=50K
,Private,,Married-civ-spouse,Craft-repair,Husband,,Male,40.0,United-States,<=50K
26.0,,9,,,,White,Male,20.0,Mexico,<=50K
,Self-emp-inc,,Married-civ-spouse,Prof-specialty,Husband,,Male,50.0,United-States,>50K
51.0,,HS-grad,,,,Black,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,60.0,United-States,<=50K
,Private,,Married-civ-spouse,Prof-specialty,Husband,,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,60.0,United-States,>50K
30.0,,Bachelors,,,,White,Male,40.0,United-States,>50K
40.0,,,,,,White,Male,40.0,United-States,<=50K
37.0,,9,,,,White,Female,68.0,United-States,<=50K
,Private,,Married-civ-spouse,Other-service,Wife,,Female,36.0,United-States,<=50K
,Private,,Never-married,Adm-clerical,Not-in-family,,Female,40.0,United-States,<=50K
,State-gov,,Married-civ-spouse,Tech-support,Husband,,Male,38.0,United-States,<=50K
,Self-emp-not-inc,,Married-civ-spouse,Transport-moving,Husband,,Male,50.0,United-States,<=50K
,Private,,Married-civ-spouse,Exec-managerial,Husband,,Male,40.0,United-States,>50K
,Self-emp-not-inc,,Married-civ-spouse,Exec-managerial,Husband,,Male,20.0,United-States,<=50K
33.0,,HS-grad,,,,Black,Male,40.0,United-States,<=50K
,Private,,Married-civ-spouse,Sales,Husband,,Male,40.0,United-States,<=50K
45.0,,Masters,,,,White,Male,40.0,United-States,>50K
,Private,,Married-civ-spouse,Transport-moving,Husband,,Male,45.0,United-States,<=50K
20.0,,10th,,,,White,Male,30.0,United-States,<=50K
59.0,,HS-grad,,,,White,Female,35.0,United-States,<=50K
45.0,,HS-grad,,,,Black,Female,40.0,United-States,<=50K
43.0,,HS-grad,,,,White,Male,60.0,United-States,<=50K
38.0,,HS-grad,,,,White,Male,64.0,United-States,<=50K
,Private,,Married-civ-spouse,Adm-clerical,Husband,,Male,45.0,United-States,>50K
56.0,,Bachelors,,,,White,Female,40.0,United-States,>50K
34.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
17.0,,12th,,,,White,Female,23.0,United-States,<=50K
62.0,,Assoc-acdm,,,,White,Female,40.0,United-States,<=50K
56.0,,HS-grad,,,,White,Male,40.0,United-States,<=50K
19.0,,11th,,,,White,Male,25.0,United-States,<=50K
,Private,,Widowed,Exec-managerial,Unmarried,,Female,50.0,United-States,<=50K
31.0,,Masters,,,,White,Female,40.0,United-States,>50K
51.0,,Bachelors,,,,White,Male,50.0,United-States,>50K
,Private,,Never-married,Exec-managerial,Own-child,,Female,40.0,United-States,<=50K
37.0,,HS-grad,,,,White,Female,25.0,United-States,<=50K
41.0,,13,,,,White,Male,65.0,United-States,<=50K
,Private,,Never-married,Prof-specialty,Not-in-family,,Female,10.0,United-States,<=50K
20.0,,Some-college,,,,White,Male,25.0,United-States,<=50K
37.0,,HS-grad,,,,White,Male,35.0,United-States,<=50K
,Private,,Never-married,Adm-clerical,Not-in-family,,Female,38.0,United-States,<=50K
45.0,,Bachelors,,,,White,Male,15.0,United-States,<=50K
27.0,,HS-grad,,,,White,Female,40.0,United-States,<=50K
