age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,native-country,salary
53.0,,182677.0,Bachelors,,Married-civ-spouse,,,Asian-Pac-Islander,,,Philippines,<=50K
,Self-emp-not-inc,410351.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
37.0,,52221.0,11th,,Married-civ-spouse,,,White,,,United-States,<=50K
19.0,,57145.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Private,137063.0,,9.0,Never-married,Sales,Unmarried,,0.0,0.0,,
17.0,,187539.0,11th,,Never-married,,,White,,,United-States,<=50K
46.0,,190115.0,Assoc-acdm,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,138944.0,,9.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
72.0,,47203.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
55.0,,127728.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
40.0,,199303.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
65.0,,190160.0,Some-college,,Widowed,,,White,,,Poland,<=50K
,State-gov,217251.0,,11.0,Divorced,Exec-managerial,Not-in-family,,0.0,0.0,,
26.0,,357933.0,,,Never-married,,,White,,,United-States,<=50K
36.0,,307134.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,<=50K
25.0,,169905.0,Assoc-voc,,Never-married,,,White,,,United-States,>50K
,Private,199555.0,,9.0,Never-married,Transport-moving,Not-in-family,,0.0,0.0,,
,Private,266189.0,,9.0,Divorced,Adm-clerical,Unmarried,,0.0,0.0,,
,Private,220562.0,,5.0,Never-married,Sales,Other-relative,,0.0,0.0,,
,Self-emp-not-inc,167380.0,,4.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
35.0,,415167.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
34.0,,223678.0,HS-grad,,Never-married,,,Amer-Indian-Eskimo,,,United-States,<=50K
,Self-emp-inc,188861.0,,14.0,Never-married,Exec-managerial,Not-in-family,,0.0,1564.0,,
44.0,,57233.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
67.0,,126849.0,10th,,Married-civ-spouse,,,Amer-Indian-Eskimo,,,United-States,<=50K
23.0,,217961.0,,,Married-civ-spouse,,,White,,,United-States,<=50K
,Self-emp-not-inc,76855.0,,10.0,Divorced,Transport-moving,Unmarried,,0.0,0.0,,
21.0,,182117.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
61.0,,182163.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,208447.0,,8.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,
37.0,,329980.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,737315.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
,Private,338833.0,,9.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
,Private,215955.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Private,175856.0,,7.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
,Private,392812.0,,9.0,Never-married,Handlers-cleaners,Not-in-family,,0.0,0.0,,
,Self-emp-not-inc,252431.0,,10.0,Married-civ-spouse,Prof-specialty,Wife,,0.0,0.0,,
,Private,99146.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,1977.0,,
20.0,,221095.0,HS-grad,,Never-married,,,Black,,,United-States,<=50K
22.0,,109482.0,10,,Never-married,,,White,,,United-States,<=50K
,Private,111415.0,,9.0,Married-civ-spouse,Other-service,Husband,,0.0,0.0,,
,Private,98639.0,,13.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,,
35.0,,140474.0,Some-college,,Married-civ-spouse,,,Amer-Indian-Eskimo,,,United-States,<=50K
,Private,140001.0,,9.0,Never-married,Sales,Own-child,,0.0,0.0,,
30.0,,207301.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
31.0,,168906.0,Bachelors,,Divorced,,,White,,,United-States,>50K
,Local-gov,153005.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
39.0,,24342.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,220531.0,,16.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
,Private,340543.0,,9.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,,
,Private,191524.0,,11.0,Separated,Prof-specialty,Own-child,,0.0,0.0,,
,,305327.0,,10.0,Never-married,,Own-child,,0.0,0.0,,
26.0,,165673.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Federal-gov,113570.0,,12.0,Married-civ-spouse,Protective-serv,Husband,,0.0,0.0,,
36.0,,103323.0,Assoc-acdm,,Married-civ-spouse,,,White,,,United-States,<=50K
32.0,,172415.0,HS-grad,,Never-married,,,Black,,,United-States,<=50K
,Private,410913.0,,9.0,Married-spouse-absent,Farming-fishing,Unmarried,,0.0,0.0,,
48.0,,102202.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Private,150076.0,,9.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,
,Private,188872.0,,9.0,Married-civ-spouse,Tech-support,Husband,,0.0,0.0,,
58.0,,280519.0,HS-grad,,Divorced,,,Black,,,United-States,<=50K
33.0,,393376.0,,,Never-married,,,White,,,United-States,<=50K
59.0,,653215.0,11th,,Widowed,,,White,,,United-States,<=50K
,Private,148409.0,,10.0,Never-married,Sales,Other-relative,,1055.0,0.0,,
25.0,,165817.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
74.0,,180455.0,Bachelors,,Widowed,,,White,,,United-States,<=50K
24.0,,208503.0,Some-college,,Never-married,,,White,,,United-States,<=50K
44.0,,266135.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
44.0,,109414.0,Bachelors,,Married-civ-spouse,,,Asian-Pac-Islander,,,Philippines,>50K
55.0,,70088.0,Masters,,Married-civ-spouse,,,White,,,United-States,>50K
46.0,,309895.0,Some-college,,Separated,,,White,,,United-States,<=50K
,Private,267706.0,,9.0,Never-married,Sales,Unmarried,,0.0,0.0,,
41.0,,253770.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,124771.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
22.0,,236684.0,Assoc-voc,,Never-married,,,Black,,,United-States,<=50K
,Private,27494.0,,10.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
,Private,323545.0,,9.0,Never-married,Tech-support,Not-in-family,,0.0,0.0,,
,Federal-gov,35576.0,,10.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Private,169042.0,,6.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,
63.0,,287277.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Self-emp-not-inc,263300.0,,12.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
59.0,,169982.0,,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,266600.0,,9.0,Married-civ-spouse,Adm-clerical,Husband,,3137.0,0.0,,
,Self-emp-not-inc,222450.0,,9.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
43.0,,240170.0,Bachelors,,Married-civ-spouse,,,White,,,Germany,<=50K
18.0,,78567.0,Some-college,,Never-married,,,White,,,United-States,<=50K
39.0,,192614.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
46.0,,254291.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
18.0,,97474.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Local-gov,113545.0,,13.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,,
40.0,,153799.0,Bachelors,,Married-civ-spouse,,,White,,,,>50K
,Private,107452.0,,10.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,,
57.0,,244605.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
26.0,,109162.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,307767.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
28.0,,189346.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
49.0,,194189.0,7th-8th,,Married-civ-spouse,,,White,,,United-States,<=50K
24.0,,170070.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
,Private,336042.0,,9.0,Separated,Craft-repair,Not-in-family,,0.0,0.0,,
,Private,243283.0,,9.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
20.0,,175808.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Private,198330.0,,14.0,Widowed,Prof-specialty,Unmarried,,0.0,0.0,,
23.0,,117363.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
38.0,,81846.0,Masters,,Married-civ-spouse,,,Asian-Pac-Islander,,,China,<=50K
25.0,,190916.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
37.0,,154641.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
54.0,,172281.0,Masters,,Divorced,,,White,,,United-States,>50K
33.0,,176992.0,,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,96219.0,,,Married-civ-spouse,Other-service,Wife,,0.0,0.0,,
,Self-emp-not-inc,118174.0,,12.0,Married-civ-spouse,Sales,Husband,,20051.0,0.0,,
,Self-emp-inc,176357.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
37.0,,76855.0,Some-college,,Divorced,,,White,,,United-States,<=50K
37.0,,200426.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,272451.0,,13.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
29.0,,209934.0,5th-6th,,Married-civ-spouse,,,White,,,Mexico,<=50K
,Private,296394.0,,9.0,Never-married,Machine-op-inspct,Unmarried,,0.0,0.0,,
26.0,,231638.0,Masters,,Never-married,,,White,,,United-States,<=50K
38.0,,237091.0,,,Married-spouse-absent,,,White,,,Peru,<=50K
,Private,182545.0,,9.0,Never-married,Machine-op-inspct,Own-child,,0.0,0.0,,
27.0,,129009.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
46.0,,181970.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,105010.0,,13.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
59.0,,136413.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,53727.0,,14.0,Never-married,Sales,Not-in-family,,0.0,0.0,,
,Private,105060.0,,10.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
46.0,,311231.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
27.0,,491607.0,Some-college,,Married-civ-spouse,,,Black,,,United-States,<=50K
19.0,,87497.0,11th,,Never-married,,,White,,,United-States,<=50K
31.0,,196025.0,Doctorate,,Married-spouse-absent,,,Asian-Pac-Islander,,,China,<=50K
,Private,390657.0,,10.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,
38.0,,156550.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,236907.0,,9.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
,Self-emp-not-inc,379412.0,,11.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Private,220589.0,,12.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
55.0,,32365.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
43.0,,249039.0,Assoc-voc,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,144594.0,,9.0,Married-civ-spouse,Adm-clerical,Husband,,2829.0,0.0,,
,Private,130849.0,,7.0,Never-married,Other-service,Own-child,,0.0,0.0,,
53.0,,153486.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,275034.0,,13.0,Married-civ-spouse,Sales,Husband,,0.0,1740.0,,
,State-gov,177787.0,,9.0,Never-married,Other-service,Unmarried,,0.0,0.0,,
,Private,352188.0,,13.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
48.0,,185039.0,,,Divorced,,,White,,,United-States,<=50K
51.0,,205100.0,Masters,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,176262.0,,12.0,Never-married,Other-service,Own-child,,0.0,0.0,,
,Self-emp-inc,171564.0,,9.0,Married-civ-spouse,Prof-specialty,Wife,,20051.0,0.0,,
49.0,,197038.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
31.0,,187215.0,HS-grad,,Never-married,,,White,,,El-Salvador,<=50K
70.0,,223275.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,194231.0,,14.0,Divorced,Sales,Not-in-family,,0.0,0.0,,
31.0,,80145.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
49.0,,234320.0,7th-8th,,Never-married,,,Black,,,United-States,<=50K
,Private,182148.0,,13.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,
,Private,255685.0,,10.0,Never-married,Other-service,Own-child,,0.0,0.0,,
,Private,218887.0,,9.0,Never-married,Farming-fishing,Unmarried,,0.0,0.0,,
,State-gov,106347.0,,14.0,Never-married,Exec-managerial,Not-in-family,,0.0,0.0,,
,Private,216284.0,,7.0,Never-married,Adm-clerical,Own-child,,0.0,0.0,,
,Private,221661.0,,6.0,Never-married,Sales,Not-in-family,,0.0,0.0,,
45.0,,116360.0,HS-grad,,Divorced,,,Black,,,United-States,<=50K
,Private,111363.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,165050.0,,6.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
42.0,,191149.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,48347.0,,13.0,Never-married,Farming-fishing,Own-child,,0.0,0.0,,
,Private,227856.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,7298.0,0.0,,
24.0,,214555.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
62.0,,272209.0,HS-grad,,Divorced,,,Black,,,United-States,<=50K
,Self-emp-inc,225780.0,,10.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,151399.0,,8.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,,
,Private,175370.0,,10.0,Divorced,Machine-op-inspct,Own-child,,0.0,0.0,,
31.0,,151763.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
32.0,,213750.0,Assoc-voc,,Never-married,,,White,,,United-States,<=50K
,Self-emp-not-inc,37284.0,,10.0,Married-civ-spouse,Farming-fishing,Husband,,0.0,0.0,,
20.0,,105997.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,172026.0,,9.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
,Private,211051.0,,13.0,Never-married,Handlers-cleaners,Own-child,,0.0,0.0,,
,Private,103277.0,,11.0,Never-married,Prof-specialty,Own-child,,0.0,0.0,,
,Private,117606.0,,13.0,Never-married,Sales,Own-child,,0.0,0.0,,
,Federal-gov,33109.0,,13.0,Divorced,Exec-managerial,Unmarried,,0.0,0.0,,
49.0,,101722.0,Prof-school,,Married-civ-spouse,,,White,,,United-States,>50K
34.0,,168768.0,Assoc-acdm,,Never-married,,,White,,,United-States,<=50K
70.0,,77219.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
58.0,,203039.0,9th,,Separated,,,White,,,United-States,<=50K
18.0,,169882.0,11th,,Never-married,,,White,,,United-States,<=50K
,Private,125441.0,,,Never-married,Other-service,Own-child,,1055.0,0.0,,
29.0,,75648.0,Some-college,,Married-civ-spouse,,,White,,,United-States,<=50K
58.0,,183869.0,9,,Married-civ-spouse,,,White,,,United-States,<=50K
29.0,,283227.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
,Private,220585.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
19.0,,183264.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,82242.0,,13.0,Never-married,Exec-managerial,Other-relative,,0.0,0.0,,
,Private,402089.0,,13.0,Married-civ-spouse,Adm-clerical,Wife,,0.0,0.0,,
,Private,240517.0,,10.0,Never-married,Machine-op-inspct,Own-child,,0.0,0.0,,
,Private,132670.0,,14.0,Married-civ-spouse,Sales,Husband,,9386.0,0.0,,
72.0,,117017.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Self-emp-inc,284526.0,,3.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
,,291856.0,,9.0,Married-civ-spouse,,Husband,,0.0,0.0,,
,Private,110457.0,,9.0,Divorced,Craft-repair,Unmarried,,0.0,0.0,,
,,211968.0,,10.0,Never-married,,Own-child,,0.0,0.0,,
52.0,,210736.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,99185.0,,9.0,Widowed,Craft-repair,Unmarried,,0.0,0.0,,
,Private,272476.0,,13.0,Married-civ-spouse,Prof-specialty,Wife,,0.0,0.0,,
30.0,,156015.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
21.0,,171156.0,Some-college,,Never-married,,,White,,,United-States,<=50K
31.0,,289889.0,Assoc-voc,,Never-married,,,White,,,United-States,<=50K
,Private,175133.0,,10.0,Never-married,Machine-op-inspct,Unmarried,,0.0,0.0,,
,Private,420277.0,,10.0,Married-civ-spouse,Protective-serv,Husband,,0.0,0.0,,
21.0,,219835.0,Assoc-voc,,Never-married,,,White,,,United-States,<=50K
48.0,,425199.0,Some-college,,Divorced,,,White,,,United-States,<=50K
,Local-gov,85548.0,,10.0,Separated,Adm-clerical,Unmarried,,0.0,0.0,,
,Private,143189.0,,3.0,Never-married,Machine-op-inspct,Own-child,,0.0,0.0,,
,Local-gov,329355.0,,9.0,Widowed,Other-service,Not-in-family,,0.0,0.0,,
,Private,42251.0,,13.0,Never-married,Exec-managerial,Not-in-family,,0.0,0.0,,
,Private,207473.0,,4.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,,
,Private,103809.0,,9.0,Never-married,Sales,Unmarried,,0.0,0.0,,
36.0,,271767.0,Bachelors,,Separated,,,White,,,,<=50K
29.0,,132686.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Self-emp-not-inc,58683.0,,10.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
22.0,,234731.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
25.0,,277444.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,<=50K
20.0,,273905.0,HS-grad,,Married-spouse-absent,,,White,,,United-States,<=50K
59.0,,375049.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,86837.0,,1.0,Married-civ-spouse,Handlers-cleaners,Husband,,0.0,0.0,,
,Private,209454.0,,3.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,,
,Private,242987.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
19.0,,78401.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Self-emp-not-inc,76487.0,,13.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,,
44.0,,236321.0,,,Divorced,,,White,,,United-States,<=50K
,Private,213887.0,,9.0,Divorced,Farming-fishing,Not-in-family,,0.0,0.0,,
,Private,166666.0,,10.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,
,Private,42251.0,,13.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,,
,Private,181291.0,,13.0,Never-married,Exec-managerial,Not-in-family,,0.0,1564.0,,
66.0,,104576.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,151799.0,,7.0,Never-married,Other-service,Own-child,,0.0,0.0,,
19.0,,201743.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Local-gov,185556.0,,9.0,Separated,Protective-serv,Not-in-family,,0.0,1980.0,,
33.0,,288825.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
49.0,,169092.0,Some-college,,Married-civ-spouse,,,White,,,Canada,>50K
,Private,149347.0,,9.0,Never-married,Craft-repair,Not-in-family,,0.0,0.0,,
,Private,68895.0,,9.0,Never-married,Adm-clerical,Not-in-family,,0.0,0.0,,
37.0,,227253.0,Preschool,,Married-civ-spouse,,,White,,,Mexico,<=50K
50.0,,225772.0,Doctorate,,Divorced,,,White,,,United-States,>50K
45.0,,238386.0,Assoc-voc,,Married-civ-spouse,,,White,,,United-States,>50K
38.0,,226106.0,Some-college,,Never-married,,,Black,,,United-States,<=50K
,Private,168283.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
,Private,221947.0,,14.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Local-gov,124692.0,,14.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
,Self-emp-not-inc,415847.0,,13.0,Married-civ-spouse,Prof-specialty,Husband,,0.0,0.0,,
60.0,,124198.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,180060.0,,9.0,Never-married,Exec-managerial,Not-in-family,,0.0,0.0,,
52.0,,190762.0,1st-4th,,Married-civ-spouse,,,White,,,Mexico,<=50K
,Private,83727.0,,9.0,Divorced,Other-service,Unmarried,,0.0,0.0,,
50.0,,152810.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
60.0,,313946.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
52.0,,172511.0,Masters,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,450695.0,,9.0,Never-married,Other-service,Not-in-family,,0.0,0.0,,
,Self-emp-not-inc,103642.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
56.0,,94156.0,Prof-school,,Married-civ-spouse,,,White,,,United-States,>50K
19.0,,45766.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,State-gov,32367.0,,10.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
59.0,,226922.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Private,111900.0,,10.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,,
,Private,113936.0,,13.0,Never-married,Prof-specialty,Own-child,,0.0,0.0,,
50.0,,154153.0,10th,,Married-civ-spouse,,,White,,,United-States,<=50K
30.0,,75167.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,,181782.0,,9.0,Married-civ-spouse,,Husband,,0.0,0.0,,
58.0,,201393.0,Assoc-acdm,,Divorced,,,White,,,United-States,<=50K
,Private,200316.0,,10.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
25.0,,118088.0,HS-grad,,Never-married,,,White,,,United-States,<=50K
,Private,236769.0,,12.0,Never-married,Exec-managerial,Own-child,,0.0,0.0,,
,Private,99203.0,,9.0,Separated,Craft-repair,Not-in-family,,3325.0,0.0,,
17.0,,41643.0,11th,,Never-married,,,White,,,United-States,<=50K
,Private,147500.0,,9.0,Married-civ-spouse,Prof-specialty,Wife,,0.0,0.0,,
33.0,,29617.0,Some-college,,Divorced,,,Black,,,United-States,<=50K
,Local-gov,212864.0,,9.0,Married-civ-spouse,Transport-moving,Husband,,0.0,0.0,,
17.0,,47771.0,11th,,Never-married,,,White,,,United-States,<=50K
43.0,,323713.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
25.0,,117393.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,<=50K
30.0,,29522.0,,,Married-civ-spouse,,,White,,,United-States,<=50K
32.0,,181212.0,Some-college,,Separated,,,White,,,United-States,<=50K
,Federal-gov,226916.0,,13.0,Widowed,Adm-clerical,Not-in-family,,0.0,0.0,,
,Private,103642.0,,11.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,144968.0,,9.0,Never-married,Tech-support,Own-child,,0.0,0.0,,
23.0,,38238.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
53.0,,346754.0,Some-college,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,234500.0,,13.0,Married-civ-spouse,Adm-clerical,Wife,,0.0,0.0,,
32.0,,255004.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Self-emp-not-inc,318644.0,,15.0,Never-married,Prof-specialty,Own-child,,0.0,0.0,,
36.0,,134367.0,Bachelors,,Married-civ-spouse,,,White,,,United-States,>50K
46.0,,187581.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
25.0,,202033.0,Masters,,Never-married,,,White,,,United-States,<=50K
60.0,,225883.0,Some-college,,Widowed,,,White,,,United-States,<=50K
,Private,141944.0,,11.0,Married-spouse-absent,Handlers-cleaners,Unmarried,,0.0,1380.0,,
33.0,,112305.0,Assoc-voc,,Never-married,,,White,,,United-States,<=50K
29.0,,266070.0,Bachelors,,Divorced,,,White,,,United-States,<=50K
,Self-emp-not-inc,230373.0,,7.0,Never-married,Other-service,Own-child,,594.0,0.0,,
48.0,,216999.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,141410.0,,10.0,Never-married,Transport-moving,Not-in-family,,0.0,0.0,,
,Federal-gov,47341.0,,14.0,Divorced,Prof-specialty,Not-in-family,,0.0,0.0,,
,Private,178137.0,,9.0,Divorced,Machine-op-inspct,Unmarried,,0.0,0.0,,
,Private,159770.0,,9.0,Married-civ-spouse,Craft-repair,Husband,,0.0,0.0,,
,Private,187046.0,,9.0,Married-civ-spouse,Sales,Husband,,4064.0,0.0,,
40.0,,175304.0,Some-college,,Divorced,,,White,,,United-States,<=50K
26.0,,104097.0,Bachelors,,Never-married,,,White,,,United-States,<=50K
,Self-emp-inc,139057.0,,9.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
45.0,,84324.0,Assoc-acdm,,Married-civ-spouse,,,White,,,United-States,>50K
,Private,206878.0,,9.0,Never-married,Adm-clerical,Unmarried,,0.0,0.0,,
43.0,,89636.0,Bachelors,,Married-civ-spouse,,,Asian-Pac-Islander,,,South,<=50K
,Private,31501.0,,11.0,Widowed,Adm-clerical,Unmarried,,0.0,0.0,,
,Private,94145.0,,9.0,Divorced,Adm-clerical,Unmarried,,0.0,0.0,,
29.0,,309620.0,Masters,,Married-civ-spouse,,,Asian-Pac-Islander,,,Taiwan,<=50K
24.0,,218957.0,Some-college,,Never-married,,,White,,,,<=50K
,Federal-gov,337575.0,,13.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,,
,Local-gov,32846.0,,10.0,Divorced,Adm-clerical,Not-in-family,,2964.0,0.0,,
,Private,236592.0,,7.0,Never-married,Sales,Own-child,,0.0,0.0,,
,Private,279129.0,,13.0,Divorced,Exec-managerial,Not-in-family,,0.0,0.0,,
27.0,,221436.0,Bachelors,,Married-civ-spouse,,,White,,,Cuba,>50K
,Private,304570.0,,8.0,Married-civ-spouse,Machine-op-inspct,Husband,,0.0,0.0,,
21.0,,140764.0,,,Never-married,,,White,,,United-States,<=50K
30.0,,77266.0,HS-grad,,Divorced,,,White,,,United-States,<=50K
,Local-gov,185129.0,,16.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
,Private,34278.0,,10.0,Married-civ-spouse,Sales,Husband,,0.0,0.0,,
,Private,185177.0,,13.0,Married-civ-spouse,Exec-managerial,Husband,,0.0,0.0,,
19.0,,163578.0,Some-college,,Never-married,,,White,,,United-States,<=50K
,Private,149466.0,,9.0,Divorced,Handlers-cleaners,Not-in-family,,0.0,0.0,,
,Private,292185.0,,13.0,Married-civ-spouse,Adm-clerical,Husband,,0.0,0.0,,
30.0,,199539.0,HS-grad,,Married-civ-spouse,,,White,,,United-States,<=50K
,Private,154978.0,,9.0,Married-civ-spouse,Other-service,Husband,,0.0,0.0,,
,Local-gov,210945.0,,13.0,Never-married,Prof-specialty,Not-in-family,,0.0,0.0,,
